"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.3406/rei.1987.2206 meta:br/0601","Prix Du Pétrole, Paniers Monétaires Et Risques De Change","Albouy, Michel [meta:ra/0601]; Dumontier, Pascal [meta:ra/0602]","1987","Revue D’Économie Industrielle [issn:0154-3229 meta:br/06021]","42","1","62-73","journal article","Persee Program [crossref:2000 meta:ra/0603]",""
"doi:10.1109/mic.2018.032501515 meta:br/0602","A Web API Ecosystem Through Feature-Based Reuse","Verborgh, Ruben [meta:ra/0604]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/0605]","2018-05","IEEE Internet Computing [issn:1089-7801 meta:br/06024]","22","3","29-37","journal article","Institute Of Electrical And Electronics Engineers (ieee) [crossref:263 meta:ra/0606]",""
"doi:10.1080/0361526x.2018.1443651 meta:br/0603","Advancing Discovery Science With FAIR Data Stewardship: Findable, Accessible, Interoperable, Reusable","Dumontier, Michel [meta:ra/0607]; Wesley, Kathryn [meta:ra/0608]","2018-05-31","The Serials Librarian [issn:0361-526X issn:1541-1095 meta:br/06027]","74","1-4","39-48","journal article","Informa Uk Limited [crossref:301 meta:ra/0609]",""
"doi:10.3233/ds-170013 meta:br/0604","Data Science – Methods, Infrastructure, And Applications","Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/0605]; Kuhn, Tobias [orcid:0000-0002-1267-0234 meta:ra/06010]","2017-11-30","Data Science [issn:2451-8492 issn:2451-8484 meta:br/06030]","","","1-5","journal article","Ios Press [crossref:7437 meta:ra/06011]",""
"doi:10.1007/978-3-319-07443-6_63 meta:br/0605","Erratum: Trusty URIs: Verifiable, Immutable, And Permanent Digital Artifacts For Linked Data","Kuhn, Tobias [meta:ra/06012]; Dumontier, Michel [meta:ra/06013]","2014","Lecture Notes In Computer Science [meta:br/06031]","","","E1-E1","book chapter","Springer International Publishing [crossref:297 meta:ra/06014]",""
"doi:10.1007/978-3-642-30284-8_50 meta:br/0606","Evaluating Scientific Hypotheses Using The SPARQL Inferencing Notation","Callahan, Alison [meta:ra/06015]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/0605]","2012","Lecture Notes In Computer Science [meta:br/06032]","","","647-658","book chapter","Springer International Publishing [crossref:297 meta:ra/06014]",""
"doi:10.1016/j.cag.2011.03.039 meta:br/0607","MoSuMo: A Semantic Web Service To Generate Electrostatic Potentials Across Solvent Excluded Protein Surfaces And Binding Pockets","Gawronski, Alexander [meta:ra/06016]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/0605]","2011-08","Computers & Graphics [issn:0097-8493 meta:br/06033]","35","4","823-830","journal article","Elsevier Bv [crossref:78 meta:ra/06017]",""
"doi:10.2139/ssrn.1282221 meta:br/0608","Regulating The Financial Analysis Industry: Is The European Directive Effective?","Dubois, Michel [meta:ra/06018]; Dumontier, Pascal [meta:ra/06019]","2008","SSRN Electronic Journal [issn:1556-5068 meta:br/06036]","","","","journal article","Elsevier Bv [crossref:78 meta:ra/06017]",""
"doi:10.2139/ssrn.1099081 meta:br/0609","Regulating The Financial Analysis Industry: Is The European Directive Effective?","Dubois, Michel [meta:ra/06020]; Dumontier, Pascal [meta:ra/06021]","2008","SSRN Electronic Journal [issn:1556-5068 meta:br/06036]","","","","journal article","Elsevier Bv [crossref:78 meta:ra/06017]",""
"doi:10.1007/978-3-319-07443-6_27 meta:br/06010","Trusty URIs: Verifiable, Immutable, And Permanent Digital Artifacts For Linked Data","Kuhn, Tobias [meta:ra/06022]; Dumontier, Michel [orcid:0000-0003-4727-9435 meta:ra/0605]","2014","Lecture Notes In Computer Science [meta:br/06037]","","","395-410","book chapter","Springer International Publishing [crossref:297 meta:ra/06014]",""
