"id","value"
"10.1038/sdata.2018.118","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bioinformatics/btx659","Dumontier, Michel [0000-0003-4727-9435]"
"10.7717/peerj.4201","Dumontier, Michel [0000-0003-4727-9435]"
"10.1109/mic.2018.032501515","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/978-1-61499-852-5-581","Dumontier, Michel [0000-0003-4727-9435]"
"10.7287/peerj.preprints.3469v1","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/ds-170013","Dumontier, Michel [0000-0003-4727-9435]"
"10.1101/225490","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/jamia/ocx064","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s12859-017-1832-4","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13326-017-0137-x","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/database/bax059","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jbi.2017.06.017","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jbi.2017.05.006","Dumontier, Michel [0000-0003-4727-9435]"
"10.1371/journal.pbio.2001414","Dumontier, Michel [0000-0003-4727-9435]"
"10.1371/journal.pone.0178293","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/jamia/ocw128","Dumontier, Michel [0000-0003-4727-9435]"
"10.7717/peerj-cs.110","Dumontier, Michel [0000-0003-4727-9435]"
"10.1101/117812","Dumontier, Michel [0000-0003-4727-9435]"
"10.7717/peerj-cs.106","Dumontier, Michel [0000-0003-4727-9435]"
"10.7287/peerj.preprints.1982","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/isu-170824","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-59758-4_27","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13326-017-0115-3","Dumontier, Michel [0000-0003-4727-9435]"
"10.1155/2017/7983473","Dumontier, Michel [0000-0003-4727-9435]"
"10.1038/sdata.2016.18","Dumontier, Michel [0000-0003-4727-9435]"
"10.7287/peerj.preprints.2007","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/database/baw097","Dumontier, Michel [0000-0003-4727-9435]"
"10.1038/ncomms12460","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13326-016-0067-z","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/s40264-015-0352-2","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jbi.2016.02.005","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-31744-1_65","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13326-016-0081-1","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/sw-150189","Dumontier, Michel [0000-0003-4727-9435]"
"10.1371/journal.pone.0154556","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bib/bbv083","Dumontier, Michel [0000-0003-4727-9435]"
"10.7717/peerj.2331","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13326-016-0108-7","Dumontier, Michel [0000-0003-4727-9435]"
"10.7717/peerj-cs.1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/database/bav049","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s12859-015-0469-4","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/s00239-015-9708-6","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/978-1-61499-564-7-1039","Dumontier, Michel [0000-0003-4727-9435]"
"10.1371/journal.pbio.1002033","Dumontier, Michel [0000-0003-4727-9435]"
"10.7717/peerj.933","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-25010-6_29","Dumontier, Michel [0000-0003-4727-9435]"
"10.1109/tkde.2015.2419657","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s12911-015-0130-1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-25010-6_18","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13321-015-0084-4","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-25007-6_38","Dumontier, Michel [0000-0003-4727-9435]"
"10.2196/jmir.3962","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bioinformatics/btv064","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/s13326-015-0040-2","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/jamia/ocv048","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-25010-6","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jbi.2015.04.006","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-5-46","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-5-5","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/s40264-014-0189-0","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bioinformatics/btt613","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-5-s1-i1","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/sw-130115","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-5-14","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-319-07443-6_27","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/978-1-61499-289-9-539","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bib/bbs053","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.eswa.2012.11.004","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-4-s1-s1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-4-s1-i1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-94-007-6803-1_12","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jbi.2012.11.007","Dumontier, Michel [0000-0003-4727-9435]"
"10.2196/resprot.2315","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/database/bas006","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bib/bbr003","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-642-30284-8_50","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bioinformatics/bts350","Dumontier, Michel [0000-0003-4727-9435]"
"10.1109/mic.2012.122","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-3-s1-i1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-13-3","Dumontier, Michel [0000-0003-4727-9435]"
