"id","value"
"10.1007/978-3-319-25518-7_18","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-319-17966-7_18","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-319-25518-7_1","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-319-17966-7_17","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/s12559-014-9302-z","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1109/mci.2013.2291688","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/2611040.2611092","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-319-12024-9","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-35843-2_8","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/2464464.2464519","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/2479832.2479854","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-41242-4_36","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/2506182.2506189","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-41242-4_34","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-24794-1_15","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-24960-0_8","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-33876-2_12","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-33876-2_20","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-24794-1_3","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/1999676.1999711","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-25073-6_33","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/1999676.1999685","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.3233/ao-2011-0095","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-16438-5_9","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-16438-5_38","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/1719970.1720060","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-02121-3_39","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/1597735.1597743","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-642-02121-3_13","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1007/978-3-540-76298-0_55","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1002/9780470238103.ch4","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.4018/978-1-59904-660-0.ch004","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1145/1066677.1067054","PRESUTTI, VALENTINA [0000-0002-9380-5160]"
"10.1109/healthcom.2014.7001839","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-17966-7_10","Vitali, Fabio [0000-0002-7562-5203]"
"10.1177/0165551515585283","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/spe.2305","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/asi.23088","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-07443-6_39","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-11955-7_42","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol13.peroni01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1016/j.procs.2014.10.012","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-54347-0_13","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/jcdl.2014.6970182","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2517978.2517990","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2494266.2494323","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2539150.2539180","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2494266.2494319","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-35834-0_23","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-319-03524-6_29","Vitali, Fabio [0000-0002-7562-5203]"
"10.1504/ijwet.2013.059107","Vitali, Fabio [0000-0002-7562-5203]"
"10.4018/jswis.2013010102","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2361354.2361374","Vitali, Fabio [0000-0002-7562-5203]"
"10.1155/2012/893575","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol8.huitfeldt01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2245276.2245403","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2361354.2361396","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/spe.1096","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-33876-2_37","Vitali, Fabio [0000-0002-7562-5203]"
"10.1016/b978-0-12-391063-9.00041-9","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-23172-8_24","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-33876-2_35","Vitali, Fabio [0000-0002-7562-5203]"
"10.1002/asi.21591","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/2063518.2063533","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-22961-9_7","Vitali, Fabio [0000-0002-7562-5203]"
"10.1504/ijwet.2011.043439","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1774088.1774259","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/hsi.2010.5514513","Vitali, Fabio [0000-0002-7562-5203]"
"10.1117/12.839077","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-16438-5_29","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol5.barabucci01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-16524-5_9","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1774088.1774262","Vitali, Fabio [0000-0002-7562-5203]"
"10.1080/13614568.2010.497194","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-01347-8_8","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/isda.2009.125","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1600193.1600232","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1568234.1568269","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1557914.1558004","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1529282.1529746","Vitali, Fabio [0000-0002-7562-5203]"
"10.4018/978-1-60566-384-5.ch020","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol3.peroni01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1529282.1529422","Vitali, Fabio [0000-0002-7562-5203]"
"10.4018/978-1-60566-384-5.ch019","Vitali, Fabio [0000-0002-7562-5203]"
"10.1007/978-3-642-00328-8_72","Vitali, Fabio [0000-0002-7562-5203]"
"10.3233/978-1-60750-082-7-1","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/icalt.2008.246","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1410140.1410157","Vitali, Fabio [0000-0002-7562-5203]"
"10.4242/balisagevol1.marinelli01","Vitali, Fabio [0000-0002-7562-5203]"
"10.1080/13614560802316145","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1367497.1367581","Vitali, Fabio [0000-0002-7562-5203]"
"10.1117/12.643449","Vitali, Fabio [0000-0002-7562-5203]"
"10.1117/12.643486","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/cec-eee.2006.50","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1109069.1109093","Vitali, Fabio [0000-0002-7562-5203]"
"10.1145/1083356.1083365","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/icect.2005.88","Vitali, Fabio [0000-0002-7562-5203]"
"10.1023/a:1016553628389","Vitali, Fabio [0000-0002-7562-5203]"
"10.1016/s0953-5438(01)00037-6","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/69.790821","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/32.685259","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/hicss.1997.663403","Vitali, Fabio [0000-0002-7562-5203]"
"10.1109/2.562928","Vitali, Fabio [0000-0002-7562-5203]"
