"meta","author","editor","publisher"
"0601","0601, 0601","","0602, 0602"
"0602","0603, 0601","","0604, 0602"
"0603","0605, 0601","","0606, 0602"
"0604","0607, 0601","","0608, 0602"
"0605","0609, 0601","","06010, 0602"
"0606","06011, 0601","","06012, 0602"
"0607","06013, 0601","","06014, 0602"
"0608","06015, 0601","","06016, 0602"
"0609","06017, 0601","","06018, 0602"
"06010","06019, 0601","","06020, 0602"
"06011","06021, 0601","","06022, 0602"
"06012","06023, 0601","","06024, 0602"
"06013","06025, 0601","","06026, 0602"
"06014","06027, 0601","","06028, 0602"
"06015","06029, 0601","","06030, 0602"
"06016","06031, 0601","","06032, 0602"
"06017","06033, 0601","","06034, 0602"
"06018","06035, 0601","","06036, 0602"
"06019","06037, 0601","","06038, 0602"
"06020","06039, 0601","","06040, 0602"
"06021","06041, 0601","","06042, 0602"
"06022","06043, 0601","","06044, 0602"
"06023","06045, 0601","","06046, 0602"
"06024","06047, 0601","","06048, 0602"
