"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"meta:br/0601","Title1","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","book","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0602","Title2","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue2 [meta:br/06025]","","","","book chapter","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0603","Title3","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue3 [meta:br/06026]","","","","book part","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0604","Title4","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","book section","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0605","Title5","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","book series","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0606","Title6","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","book set","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0607","Title7","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0608","Title8","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/0609","Title9","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","data file","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06010","Title10","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","dissertation","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06011","Title11","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","book","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06012","Title12","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","journal","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06013","Title13","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue13 [meta:br/06027]","","","","journal article","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06014","Title14","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue14 [meta:br/06028]","","","","journal issue","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06015","Title15","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue15 [meta:br/06029]","","","","journal volume","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06016","Title16","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","book","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06017","Title17","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue17 [meta:br/06030]","","","","proceedings article","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06018","Title18","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","proceedings","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06019","Title19","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","reference book","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06020","Title20","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","reference entry","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06021","Title21","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","series","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06022","Title22","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue22 [meta:br/06031]","","","","report","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06023","Title23","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","Venue23 [meta:br/06032]","","","","standard","Pubx [viaf:222 meta:ra/0602]",""
"meta:br/06024","Title24","Surname1, Name1 [viaf:111 meta:ra/0601]","1995","","","","","series","Pubx [viaf:222 meta:ra/0602]",""
